id,text,label,aspect
617,屏幕可视角度约178度,neutral,画质
1126,这画质太糊了，看得眼睛疼,negative,画质
1613,这锐度，扎眼睛的那种,sarcasm,画质
1627,画面精致得好像马赛克艺术品,sarcasm,画质
1077,这个剧情逻辑简直莫名其妙,negative,剧情
122,画面太细腻了，皮肤质感都出来了,positive,画质
750,广播剧配音的呼吸声可以听到,neutral,配音
1823,节奏好到让人忘记剧情,sarcasm,节奏
518,剧情中的冲突都在情理之中,neutral,剧情
1541,真的牛，能在高潮部分插入一个完全不相干的回忆,sarcasm,剧情
1720,配音真高端，让我想起90年代译制片,sarcasm,配音
1589,每个引出的情节都仿佛在跟观众叫板：「就这样了你能怎样」,sarcasm,剧情
1705,太好听了，建议以后所有角色都这么配,sarcasm,配音
1701,这配音真·大师级，耳朵有福了,sarcasm,配音
966,这个角色有自己的主题音乐,neutral,角色
1953,这个角色设计得真是太用心了，完全看不出任何特点,sarcasm,角色
946,这个角色在家族中排行老二,neutral,角色
1214,配音毫无辨识度，所有角色一个腔调,negative,配音
925,故事里有个神秘人物经常在关键时刻出现,neutral,角色
1738,声音处理精致，精致到像两个频道,sarcasm,配音
681,帧率稳定在30fps,neutral,画质
70,才看两集就被剧情深深吸引,positive,剧情
628,播放时帧率显示30fps,neutral,画质
888,球赛下半场节奏明显加快,neutral,节奏
1466,明星架子真大，演技还那么垮,negative,角色
1306,全片节奏像一滩死水，毫无波澜,negative,节奏
1672,对比度完美，黑得仿佛没了眼神,sarcasm,画质
245,配音节奏控制得很好，听着不累,positive,配音
1968,这角色演技炸裂，把我雷死了,sarcasm,角色
451,主角魅力十足，太喜欢他了,positive,角色
164,色彩很正，看起来高端,positive,画质
1435,编剧把角色写得前后矛盾，令人无语,negative,角色
253,配音演员情绪拿捏得太准了,positive,配音
853,经过测量，节奏的稳定性在误差范围内,neutral,节奏
335,我喜欢这种慢悠悠的节奏，适合放空,positive,节奏
722,配音音频文件是无损格式,neutral,配音
471,爱这个角色的所有细节,positive,角色
1591,开篇悬念其实设置的挺好的，只不过后来都忘了填坑,sarcasm,剧情
1576,这剧情转折真是太惊喜了，每个坑都精准地踩在了预判之外,sarcasm,剧情
731,母语配音和原声差别不大,neutral,配音
1375,节奏太纠结，一点都不爽,negative,节奏
745,英文原声配音换成了中文配音,neutral,配音
738,广告旁白配音音调比较高,neutral,配音
477,主角的成长线好真实，不经意就泪目了,positive,角色
279,这个配音听着很舒服,positive,配音
1353,剪辑稀碎，节奏乱成一锅粥,negative,节奏
968,反派的化妆效果有些吓人,neutral,角色
468,每个角色都很有深度,positive,角色
1366,该快不快，该慢不慢，节奏问题大,negative,节奏
1120,色温偏黄，感觉像上世纪电影,negative,画质
1069,剧情没逻辑，纯粹为了煽情,negative,剧情
