text,true_label,pred_label,confidence
演员之间的化学反应为零,negative,neutral,0.5061501821939882
跑步场景的节奏拍得拖沓又重复,negative,neutral,0.42187028560212125
广角画面边缘也不失真,positive,negative,0.482299449882703
剧情超级合理，死人复活都是常事,sarcasm,positive,0.40368045460452434
安排得这么巧妙，每个角色都恰到好处地犯了蠢,sarcasm,positive,0.49572311169158995
这个角色的成长弧线简直是直线下滑,sarcasm,positive,0.34099171161724673
这配音像在念课文,negative,sarcasm,0.42297750590829264
快节奏让人心跳加速，爽,positive,sarcasm,0.33726353520197266
专业配音就是不一样，听着舒心,positive,negative,0.3653189643554538
画质暗到找角色全靠弹幕指路，互动到位,sarcasm,positive,0.41965857049811534
全员智商在线太爽,positive,negative,0.41927608116483783
剧情的节奏不快不慢，刚好,neutral,negative,0.33234252110736745
节奏明快，让人心跳猝停,sarcasm,positive,0.42883046654104656
清晰度连普清都不如,negative,sarcasm,0.3298901038869529
对话节奏过于密集，听得累,negative,positive,0.29759052476856174
节奏感强烈，全程高能,positive,sarcasm,0.4664297054334581
节奏恰到好处，刚好卡在我忍耐的极限,sarcasm,positive,0.504082911094449
看到一半就能猜到结局,neutral,sarcasm,0.4595313937704199
女主角有一头长发，喜欢穿白色衣服,neutral,positive,0.4164603591273396
超清画质，非常清楚，狗牙都没修复,sarcasm,positive,0.5977655330379839
他的角色背景写得很详细,neutral,positive,0.38641255417897724
暗光下照度不足,neutral,negative,0.2953571561937863
这个角色设定根本就是漏洞百出,negative,neutral,0.28420849993486247
这角色圣母心泛滥,negative,sarcasm,0.4415541282088396
反派明明智商在线却总是犯低级错误,negative,sarcasm,0.3078537979772285
听着这种配音想单曲循环,positive,sarcasm,0.30230930816576757
剧情在同类中出类拔萃，亮点很多,positive,neutral,0.5171747928782556
节奏慢得我都刷了好几次手机才看完,negative,sarcasm,0.4871092816812351
这节奏挺适合当催眠曲的,sarcasm,neutral,0.30720249638697483
剧情的煽情点戳中我了,positive,neutral,0.4484862821641446
听起来像在念课文，好出戏,negative,sarcasm,0.35968863631752696
姐妹反目桥段有层次,positive,neutral,0.5136165006857495
配音太棒了，连呼吸声都很真实,positive,sarcasm,0.4426545062852374
配音配合画面毫无违和感,positive,negative,0.38596664690291255
画面清晰度还不错,neutral,positive,0.32380125884141503
声音控制力真强，强弱转换自如,positive,sarcasm,0.48854520966298104
这首歌的鼓点节奏太有力量了,positive,neutral,0.397952314727284
大纲写得精彩，每个桥段都好,positive,sarcasm,0.47350120286082276
这嗓音无敌了,positive,sarcasm,0.3427266657047744
这节奏让心脏都跟着跳,positive,sarcasm,0.4968629955338736
女配整天白莲花样子真想吐,negative,sarcasm,0.45151066747037855
反转精彩，完全猜不到下一步发展,positive,sarcasm,0.5413182654256461
