id,text,label,aspect
1861,这节奏，完美诠释了什么叫杂乱无章,sarcasm,节奏
354,动作戏的节奏感超级棒,positive,节奏
1334,节奏太紧了，完全没喘息点,negative,节奏
906,男二号是一名律师，性格比较内敛,neutral,角色
1290,有些地方的配音延迟太明显了,negative,配音
1274,这配音太刺耳了,negative,配音
939,他在剧中有三场打斗戏,neutral,角色
1732,配音真用功，字字都像在念课文,sarcasm,配音
66,被剧情感动到了，好看,positive,剧情
1324,剪辑点全错，节奏彻底垮掉,negative,节奏
57,剧情饱满，没有多余废话,positive,剧情
1293,配音的口音地区错了，不地道,negative,配音
1119,画面不干净，有很多脏点，怀疑是设备问题,negative,画质
585,每一集都独立成章,neutral,剧情
375,直播节奏很舒服，不拖泥带水,positive,节奏
276,这配音演员配得太有感情了,positive,配音
747,这部动画片配音阵容多达十人,neutral,配音
129,画面通透干净，亮度适中,positive,画质
1647,啊，这画质让我想起老电影，抖得真实,sarcasm,画质
1853,这么乱的节奏，居然能听下去，佩服,sarcasm,节奏
675,快门速度1/60秒,neutral,画质
1665,这抗锯齿做得真好，全是锯齿差点意思,sarcasm,画质
1982,好厉害，这个角色的智商全程在线，就是没在点上,sarcasm,角色
1084,剧情编排不合理，感觉像拼凑的,negative,剧情
1923,配角的存在感强到你完全想不起来,sarcasm,角色
100,剧情环环相扣，看得十分投入,positive,剧情
1180,帧率低，卡顿感明显,negative,画质
965,童年时期的角色换了小演员来演,neutral,角色
793,配音的齿音部分有点刺耳,neutral,配音
30,喜欢这个设定，既有深度又燃,positive,剧情
629,照片的像素大约是1200万,neutral,画质
945,他已经出现在5个不同场景中,neutral,角色
573,人物命运在结尾闭环,neutral,剧情
908,男主角的设定是所有技能都精通,neutral,角色
1081,剧情节奏乱七八糟，看得一头雾水,negative,剧情
451,主角魅力十足，太喜欢他了,positive,角色
1610,这画质太稳定了，全程都在晃动,sarcasm,画质
1291,配音不贴合人物，看着想快进,negative,配音
1079,剧情的转折太生硬了，不自然,negative,剧情
255,声音和画面配合得恰到好处,positive,配音
125,看这种超清画质，心情都好了,positive,画质
1928,这反派智商真高，每次计划都把自己坑死,sarcasm,角色
252,声线好迷人，每句台词都很有感染力,positive,配音
586,这个剧情推进速度正常，没有刻意拖沓,neutral,剧情
1569,剧情深度堪比短视频，三分钟就能看懂全部,sarcasm,剧情
825,断奏点落在重拍上,neutral,节奏
508,冲突的解决方式比较简单,neutral,剧情
890,这支曲子节奏鲜明，容易记住旋律,neutral,节奏
71,故事有深意，值得回味,positive,剧情
1609,动态范围大到一片漆黑,sarcasm,画质
1533,太佩服了，所有线索都聚集在一起显得毫无用处,sarcasm,剧情
248,配音细节处理太牛了，连叹气都生动,positive,配音
1451,这个男主角的演技浮夸得让人尴尬,negative,角色
213,配音细节处理得真好，情绪转换自如,positive,配音
910,主要角色有五人，各自有不同的背景,neutral,角色
1742,这配音好听死了，死得我赶紧调小音量,sarcasm,配音
1245,字幕和配音不同步，体验极差,negative,配音
1697,码率低到百度云都得压画质，诚意满满,sarcasm,画质
1183,锐化过度，边缘有白边,negative,画质
362,音乐的节奏感太强了，好嗨,positive,节奏
1474,人物动机逻辑根本说不通,negative,角色
679,色彩饱和度适中,neutral,画质
1622,色调这么高级，蓝不蓝绿不绿的,sarcasm,画质
1090,剧情毫无逻辑，主角行为怪诞,negative,剧情
1988,太全面了，这个角色把每个缺点都发挥得淋漓尽致,sarcasm,角色
1848,感谢导演保留了古董般的叙事节奏,sarcasm,节奏
988,男主角的武器是一把剑,neutral,角色
1513,这么创新的剧情，终于让我见识了老套的集大成,sarcasm,剧情
112,每一幕都像油画，太惊艳了,positive,画质
1488,看了让人讨厌的角色，赶紧下线吧,negative,角色
1454,那个配角老是抢戏，看着就烦,negative,角色
384,喜欢这个节奏，不拖沓不急促,positive,节奏
1396,节奏太啰嗦，一句话翻来覆去讲,negative,节奏
1055,剧情莫名其妙，完全不懂在讲什么,negative,剧情
756,配音演员的声音辨识度很高,neutral,配音
325,剧情发展节奏不错，很会讲故事,positive,节奏
1624,暗部细节丰富到啥也看不见,sarcasm,画质
788,配音的情感表达比较中庸,neutral,配音
369,插曲的节奏超带感,positive,节奏
1820,这节奏，建议作者直接起飞,sarcasm,节奏
70,才看两集就被剧情深深吸引,positive,剧情
858,这首歌的节奏是复合拍子,neutral,节奏
1484,角色行为动机非常牵强,negative,角色
1556,真心感谢这剧情，治好了我的失眠,sarcasm,剧情
1692,这画质适合盲人观看，反正看清了更难受,sarcasm,画质
1475,就连老演员在这剧里也水土不服,negative,角色
1799,配音节奏掌控完美，完美到催人入睡,sarcasm,配音
479,女主人设太圈粉了，独立又有脑子,positive,角色
282,声音质感真的很棒,positive,配音
1648,果冻效应好显眼，跟摇摇晃晃一样,sarcasm,画质
1557,冲突处理太高级了，反正解决不了就靠主角光环,sarcasm,剧情
1730,配音绝了，每一句都让我出戏,sarcasm,配音
211,配音流畅自然，毫无违和感,positive,配音
298,甜美声线配的恰到好处,positive,配音
1885,这节奏慢得恰到好处，正好让人烦躁,sarcasm,节奏
1834,节奏踩点极其精准，每一秒都在折磨人,sarcasm,节奏
652,这部影片的画质属于正常水平,neutral,画质
1234,为什么配音那么假，像AI读课文,negative,配音
1503,剧情紧凑得让人不得不快进,sarcasm,剧情
1932,这角色台词真精炼，来来去去就那句‘救命’,sarcasm,角色
917,女主角有一头长发，喜欢穿白色衣服,neutral,角色
994,角色之前的经历一段都不记得了,neutral,角色
430,主角的成长线刻画得很细腻，很感动,positive,角色
1371,差评，节奏处理极差,negative,节奏
240,声音表现力满分，每个语气都恰到好处,positive,配音
880,新专辑的节奏部分编得比较常规,neutral,节奏
621,电影模式背景虚化可调,neutral,画质
257,普通话标准，语气也很自然,positive,配音
612,视频码率约为10Mbps,neutral,画质
545,剧情让我联想到一些社会事件,neutral,剧情
772,有些配音听起来像是同一个人,neutral,配音
1420,这角色圣母心泛滥,negative,角色
1042,叙事乱七八糟，不知所云,negative,剧情
1790,这声音配得太贴近角色了，毫无违和感,sarcasm,配音
760,配音演员的发音很标准,neutral,配音
383,节奏完美，越看越上头,positive,节奏
1104,暗部细节全没了，黑乎乎一片,negative,画质
974,配角在关键时刻帮助了主角,neutral,角色
353,剪辑节奏很棒，一气呵成,positive,节奏
1606,清晰度绝了，连汗毛都能数出来？骗鬼呢,sarcasm,画质
1826,这节奏快得飞起，剪辑师是开了倍速吧,sarcasm,节奏
1037,剧情节奏太慢，睡着好几次,negative,剧情
1108,亮度太高了，白的刺眼，眼睛受不了,negative,画质
495,每个角色都像是真实存在的，共情了,positive,角色
394,节奏明快，看着不费力,positive,节奏
1547,太行了，关键线索被主角看到后硬是装没看见,sarcasm,剧情
465,很喜欢反派的这一面,positive,角色
887,这个软件响应节奏有点慢，等待时间较长,neutral,节奏
1194,画面总是有微小的跳动,negative,画质
367,解说节奏把控得很专业,positive,节奏
1894,多优美的节奏啊，听完整个人都平和了,sarcasm,节奏
1874,节奏又快又乱，真是首好听的歌,sarcasm,节奏
745,英文原声配音换成了中文配音,neutral,配音
530,剧情把几个不同的线索编织在一起,neutral,剧情
803,整体节奏偏快,neutral,节奏
1224,配音断句奇怪，听起来难受,negative,配音
1979,这角色塑造得真成功，让人越看越讨厌,sarcasm,角色
1906,为主角的机智点赞，敌人还没动他就先送人头,sarcasm,角色
1700,这画质清晰到能把编剧的皱纹都拍出来,sarcasm,画质
1545,多出乎意料啊，反派突然忏悔那幕拯救了整部剧,sarcasm,剧情
1314,又慢又碎，节奏简直没法忍,negative,节奏
307,节奏带感，根本停不下来好评,positive,节奏
1667,纹理质量高，就像看了马赛克拼图,sarcasm,画质
863,电子乐的定速稳定保留了稳定律动,neutral,节奏
1567,伏笔回收太棒了，忘了的继续埋伏,sarcasm,剧情
531,故事的主线一直很明确,neutral,剧情
655,分辨率是1080p的,neutral,画质
1260,这配音像在念课文,negative,配音
234,声优演绎太生动了，每个字都有灵魂,positive,配音
121,色彩明快柔和，很喜欢这个色调,positive,画质
1698,防抖技术烂到像坐过山车，头晕良方,sarcasm,画质
950,他和主角有三次直接对话,neutral,角色
618,画面锐度处于中等水平,neutral,画质
1179,细节全糊了，根本看不清,negative,画质
308,剧情节奏很稳，看着很流畅,positive,节奏
136,画质清晰度超出预期,positive,画质
555,剧情在梦境与现实之间切换,neutral,剧情
1674,帧生成技术真棒，黏黏糊糊让人想吐,sarcasm,画质
584,动作戏集中在最后部分,neutral,剧情
1641,锐化过度，头发丝都成了钢丝球,sarcasm,画质
671,色域覆盖了sRGB,neutral,画质
835,游乐场音乐节奏欢快,neutral,节奏
110,好喜欢这个画质，色彩调得刚好,positive,画质
1165,动态场景糊成一团,negative,画质
1960,男主表演太有层次了，从呆板到更呆板,sarcasm,角色
1465,女主角就是个恋爱脑，人设不行,negative,角色
1729,这配音太生动了，生动得像AI朗读,sarcasm,配音
1243,这配音的声线完全不符合人物设定,negative,配音
212,声优阵容强大，每个声音都印象深刻,positive,配音
1768,配音很流畅，像流水线产品一样标准,sarcasm,配音
1121,1080p的分辨率都做的这么差，厂商真会偷懒,negative,画质
680,码率大概10Mbps,neutral,画质
